n,p,seed,k,sat,time_s,conflicts,n_vars,n_clauses
20,0.5,1,4,False,9.284296538680792e-05,42,80,512
20,0.5,1,5,False,0.0005365470424294472,184,100,685
20,0.5,1,6,True,0.00027966906782239676,102,120,878
20,0.5,2,1,False,1.910957507789135e-06,0,20,113
20,0.5,2,2,False,4.700035788118839e-06,2,40,226
20,0.5,2,3,False,1.5471014194190502e-05,8,60,359
20,0.5,2,4,False,8.545198943465948e-05,41,80,512
20,0.5,2,5,False,0.0011133550433441997,289,100,685
20,0.5,2,6,True,1.5171011909842491e-05,0,120,878
20,0.5,3,1,False,1.8399441614747047e-06,0,20,111
20,0.5,3,2,False,4.859990440309048e-06,2,40,222
20,0.5,3,3,False,1.2760050594806671e-05,6,60,353
20,0.5,3,4,False,6.086193025112152e-05,29,80,504
20,0.5,3,5,True,1.2030010111629963e-05,0,100,675
20,0.5,4,1,False,1.7309794202446938e-06,0,20,118
20,0.5,4,2,False,4.7299545258283615e-06,2,40,236
20,0.5,4,3,False,1.2909993529319763e-05,7,60,374
20,0.5,4,4,False,6.443203892558813e-05,29,80,532
20,0.5,4,5,False,0.0010955550242215395,322,100,710
20,0.5,4,6,True,2.9311049729585648e-05,4,120,908
20,0.5,5,1,False,1.7889542505145073e-06,0,20,107
20,0.5,5,2,False,4.639965482056141e-06,2,40,214
20,0.5,5,3,False,1.488998532295227e-05,8,60,341
20,0.5,5,4,False,6.155192386358976e-05,30,80,488
20,0.5,5,5,True,3.799097612500191e-05,10,100,655
20,0.5,6,1,False,1.6399426385760307e-06,0,20,116
20,0.5,6,2,False,4.639965482056141e-06,2,40,232
20,0.5,6,3,False,1.3409997336566448e-05,7,60,368
20,0.5,6,4,False,6.760202813893557e-05,32,80,524
20,0.5,6,5,False,0.0007358640432357788,238,100,700
20,0.5,6,6,True,5.237199366092682e-05,10,120,896
20,0.5,7,1,False,1.7710262909531593e-06,0,20,125
20,0.5,7,2,False,4.849978722631931e-06,2,40,250
20,0.5,7,3,False,1.3011042028665543e-05,7,60,395
20,0.5,7,4,False,8.095300290733576e-05,39,80,560
20,0.5,7,5,False,0.0006378709804266691,214,100,745
20,0.5,7,6,True,3.0330964364111423e-05,7,120,950
20,0.5,8,1,False,1.7599668353796005e-06,0,20,120
20,0.5,8,2,False,4.749977961182594e-06,2,40,240
20,0.5,8,3,False,1.5060999430716038e-05,8,60,380
20,0.5,8,4,False,7.866206578910351e-05,41,80,540
20,0.5,8,5,False,0.0007614840287715197,245,100,720
20,0.5,8,6,True,0.00019848602823913097,59,120,920
