Branch-coverage saturation:
function                   seed  paths/total  branch_cov
k_independent_ifs_k5         42     12/32        100.00%
k_independent_ifs_k5         42     13/32        100.00%
k_independent_ifs_k5         42     14/32        100.00%
k_independent_ifs_k5         42     15/32        100.00%
k_independent_ifs_k5         42     16/32        100.00%
k_independent_ifs_k5         42     17/32        100.00%
k_independent_ifs_k5         42     18/32        100.00%
k_independent_ifs_k5         42     19/32        100.00%
k_independent_ifs_k5         42     20/32        100.00%
k_independent_ifs_k5         42     21/32        100.00%
k_independent_ifs_k5         42     22/32        100.00%
k_independent_ifs_k5         42     23/32        100.00%
k_independent_ifs_k5         42     24/32        100.00%
k_independent_ifs_k5         42     25/32        100.00%
k_independent_ifs_k5         42     26/32        100.00%
k_independent_ifs_k5         42     27/32        100.00%
k_independent_ifs_k5         42     28/32        100.00%
k_independent_ifs_k5         42     29/32        100.00%
k_independent_ifs_k5         42     30/32        100.00%
k_independent_ifs_k5         42     31/32        100.00%
k_independent_ifs_k5         42     32/32        100.00%
k_independent_ifs_k5        123      1/32         50.00%
k_independent_ifs_k5        123      2/32         70.00%
k_independent_ifs_k5        123      3/32         80.00%
k_independent_ifs_k5        123      4/32         90.00%
k_independent_ifs_k5        123      5/32        100.00%
k_independent_ifs_k5        123      6/32        100.00%
k_independent_ifs_k5        123      7/32        100.00%
k_independent_ifs_k5        123      8/32        100.00%
k_independent_ifs_k5        123      9/32        100.00%
k_independent_ifs_k5        123     10/32        100.00%
k_independent_ifs_k5        123     11/32        100.00%
k_independent_ifs_k5        123     12/32        100.00%
k_independent_ifs_k5        123     13/32        100.00%
k_independent_ifs_k5        123     14/32        100.00%
k_independent_ifs_k5        123     15/32        100.00%
k_independent_ifs_k5        123     16/32        100.00%
k_independent_ifs_k5        123     17/32        100.00%
k_independent_ifs_k5        123     18/32        100.00%
k_independent_ifs_k5        123     19/32        100.00%
k_independent_ifs_k5        123     20/32        100.00%
k_independent_ifs_k5        123     21/32        100.00%
k_independent_ifs_k5        123     22/32        100.00%
k_independent_ifs_k5        123     23/32        100.00%
k_independent_ifs_k5        123     24/32        100.00%
k_independent_ifs_k5        123     25/32        100.00%
k_independent_ifs_k5        123     26/32        100.00%
k_independent_ifs_k5        123     27/32        100.00%
k_independent_ifs_k5        123     28/32        100.00%
k_independent_ifs_k5        123     29/32        100.00%
k_independent_ifs_k5        123     30/32        100.00%
k_independent_ifs_k5        123     31/32        100.00%
k_independent_ifs_k5        123     32/32        100.00%
k_independent_ifs_k5          7      1/32         50.00%
k_independent_ifs_k5          7      2/32         80.00%
k_independent_ifs_k5          7      3/32        100.00%
k_independent_ifs_k5          7      4/32        100.00%
k_independent_ifs_k5          7      5/32        100.00%
k_independent_ifs_k5          7      6/32        100.00%
k_independent_ifs_k5          7      7/32        100.00%
k_independent_ifs_k5          7      8/32        100.00%
k_independent_ifs_k5          7      9/32        100.00%
k_independent_ifs_k5          7     10/32        100.00%
k_independent_ifs_k5          7     11/32        100.00%
k_independent_ifs_k5          7     12/32        100.00%
k_independent_ifs_k5          7     13/32        100.00%
k_independent_ifs_k5          7     14/32        100.00%
k_independent_ifs_k5          7     15/32        100.00%
k_independent_ifs_k5          7     16/32        100.00%
k_independent_ifs_k5          7     17/32        100.00%
k_independent_ifs_k5          7     18/32        100.00%
k_independent_ifs_k5          7     19/32        100.00%
k_independent_ifs_k5          7     20/32        100.00%
k_independent_ifs_k5          7     21/32        100.00%
k_independent_ifs_k5          7     22/32        100.00%
k_independent_ifs_k5          7     23/32        100.00%
k_independent_ifs_k5          7     24/32        100.00%
k_independent_ifs_k5          7     25/32        100.00%
k_independent_ifs_k5          7     26/32        100.00%
k_independent_ifs_k5          7     27/32        100.00%
k_independent_ifs_k5          7     28/32        100.00%
k_independent_ifs_k5          7     29/32        100.00%
k_independent_ifs_k5          7     30/32        100.00%
k_independent_ifs_k5          7     31/32        100.00%
k_independent_ifs_k5          7     32/32        100.00%
