# T,precision,recall,f1
87,0.872093,1.000000,0.931677
88,0.833333,1.000000,0.909091
89,0.773196,1.000000,0.872093
90,0.721154,1.000000,0.837989
91,0.641026,1.000000,0.781250
92,0.579151,1.000000,0.733496
93,0.535714,1.000000,0.697674
94,0.445104,1.000000,0.616016
95,0.379747,1.000000,0.550459
96,0.328228,1.000000,0.494234
97,0.271739,1.000000,0.427350
98,0.230061,1.000000,0.374065
99,0.194553,1.000000,0.325733
100,0.157895,1.000000,0.272727
101,0.128425,1.000000,0.227618
102,0.104384,1.000000,0.189036
103,0.083893,1.000000,0.154799
104,0.069252,1.000000,0.129534
105,0.057383,1.000000,0.108538
106,0.048092,1.000000,0.091771
107,0.039526,1.000000,0.076046
108,0.032989,1.000000,0.063871
109,0.027762,1.000000,0.054025
110,0.023419,1.000000,0.045767
111,0.019891,1.000000,0.039007
112,0.016850,1.000000,0.033142
113,0.014413,1.000000,0.028417
114,0.012533,1.000000,0.024757
115,0.010885,1.000000,0.021535
116,0.009467,1.000000,0.018757
117,0.008275,1.000000,0.016414
118,0.007315,1.000000,0.014524
119,0.006506,1.000000,0.012928
120,0.005815,1.000000,0.011562
121,0.005221,1.000000,0.010387
122,0.004729,1.000000,0.009414
123,0.004298,1.000000,0.008559
124,0.003929,1.000000,0.007828
125,0.003607,1.000000,0.007187
126,0.003331,1.000000,0.006640
127,0.003097,1.000000,0.006175
128,0.002889,1.000000,0.005762
129,0.002708,1.000000,0.005402
130,0.002545,1.000000,0.005078
131,0.002410,1.000000,0.004809
132,0.002291,1.000000,0.004571
133,0.002184,1.000000,0.004359
134,0.002091,1.000000,0.004173
135,0.002009,1.000000,0.004011
136,0.001937,1.000000,0.003867
137,0.001872,1.000000,0.003737
138,0.001815,1.000000,0.003624
139,0.001767,1.000000,0.003527
140,0.001725,1.000000,0.003444
141,0.001688,1.000000,0.003370
142,0.001657,1.000000,0.003308
143,0.001630,1.000000,0.003254
144,0.001605,1.000000,0.003205
145,0.001584,1.000000,0.003163
146,0.001567,1.000000,0.003129
147,0.001553,1.000000,0.003101
148,0.001540,1.000000,0.003076
149,0.001530,1.000000,0.003056
150,0.001522,1.000000,0.003040
151,0.001515,1.000000,0.003026
152,0.001509,1.000000,0.003014
153,0.001505,1.000000,0.003005
154,0.001501,1.000000,0.002997
155,0.001497,1.000000,0.002990
156,0.001495,1.000000,0.002985
157,0.001492,1.000000,0.002980
158,0.001491,1.000000,0.002977
159,0.001489,1.000000,0.002974
160,0.001488,1.000000,0.002972
161,0.001487,1.000000,0.002971
162,0.001487,1.000000,0.002969
163,0.001486,1.000000,0.002968
164,0.001486,1.000000,0.002967
165,0.001485,1.000000,0.002966
166,0.001485,1.000000,0.002966
167,0.001485,1.000000,0.002966
168,0.001485,1.000000,0.002966
169,0.001485,1.000000,0.002965
170,0.001485,1.000000,0.002965
171,0.001485,1.000000,0.002965
172,0.001485,1.000000,0.002965
173,0.001485,1.000000,0.002965
174,0.001485,1.000000,0.002965
175,0.001485,1.000000,0.002965
176,0.001485,1.000000,0.002965
177,0.001485,1.000000,0.002965
178,0.001485,1.000000,0.002965
179,0.001485,1.000000,0.002965
180,0.001485,1.000000,0.002965
181,0.001485,1.000000,0.002965
182,0.001485,1.000000,0.002965
183,0.001485,1.000000,0.002965
184,0.001485,1.000000,0.002965
185,0.001485,1.000000,0.002965
186,0.001485,1.000000,0.002965
187,0.001485,1.000000,0.002965
188,0.001485,1.000000,0.002965
189,0.001485,1.000000,0.002965
190,0.001485,1.000000,0.002965
191,0.001485,1.000000,0.002965
192,0.001485,1.000000,0.002965
193,0.001485,1.000000,0.002965
194,0.001485,1.000000,0.002965
195,0.001485,1.000000,0.002965
196,0.001485,1.000000,0.002965
197,0.001485,1.000000,0.002965
198,0.001485,1.000000,0.002965
199,0.001485,1.000000,0.002965
200,0.001485,1.000000,0.002965
201,0.001485,1.000000,0.002965
202,0.001485,1.000000,0.002965
203,0.001485,1.000000,0.002965
204,0.001485,1.000000,0.002965
205,0.001485,1.000000,0.002965
206,0.001485,1.000000,0.002965
207,0.001485,1.000000,0.002965
208,0.001485,1.000000,0.002965
209,0.001485,1.000000,0.002965
210,0.001485,1.000000,0.002965
211,0.001485,1.000000,0.002965
212,0.001485,1.000000,0.002965
213,0.001485,1.000000,0.002965
214,0.001485,1.000000,0.002965
215,0.001485,1.000000,0.002965
216,0.001485,1.000000,0.002965
217,0.001485,1.000000,0.002965
218,0.001485,1.000000,0.002965
219,0.001485,1.000000,0.002965
220,0.001485,1.000000,0.002965
221,0.001485,1.000000,0.002965
222,0.001485,1.000000,0.002965
223,0.001485,1.000000,0.002965
224,0.001485,1.000000,0.002965
225,0.001485,1.000000,0.002965
226,0.001485,1.000000,0.002965
227,0.001485,1.000000,0.002965
228,0.001485,1.000000,0.002965
229,0.001485,1.000000,0.002965
230,0.001485,1.000000,0.002965
231,0.001485,1.000000,0.002965
232,0.001485,1.000000,0.002965
233,0.001485,1.000000,0.002965
234,0.001485,1.000000,0.002965
235,0.001485,1.000000,0.002965
236,0.001485,1.000000,0.002965
237,0.001485,1.000000,0.002965
238,0.001485,1.000000,0.002965
239,0.001485,1.000000,0.002965
240,0.001485,1.000000,0.002965
241,0.001485,1.000000,0.002965
242,0.001485,1.000000,0.002965
243,0.001485,1.000000,0.002965
244,0.001485,1.000000,0.002965
245,0.001485,1.000000,0.002965
246,0.001485,1.000000,0.002965
247,0.001485,1.000000,0.002965
248,0.001485,1.000000,0.002965
249,0.001485,1.000000,0.002965
250,0.001485,1.000000,0.002965
251,0.001485,1.000000,0.002965
252,0.001485,1.000000,0.002965
253,0.001485,1.000000,0.002965
254,0.001485,1.000000,0.002965
255,0.001485,1.000000,0.002965
256,0.001485,1.000000,0.002965
