n,seed,est,signed_rel_pct,abs_rel_pct
100000,7,98843.643,-1.1564,1.1564
100000,11,100480.265,0.4803,0.4803
100000,13,100568.045,0.5680,0.5680
100000,17,100397.825,0.3978,0.3978
100000,19,100454.055,0.4541,0.4541
100000,23,99993.476,-0.0065,0.0065
100000,29,100263.107,0.2631,0.2631
100000,31,102161.426,2.1614,2.1614
100000,37,100651.278,0.6513,0.6513
100000,41,99248.165,-0.7518,0.7518
100000,43,100514.352,0.5144,0.5144
100000,47,98954.193,-1.0458,1.0458
100000,53,100331.038,0.3310,0.3310
100000,59,99959.971,-0.0400,0.0400
100000,61,99614.167,-0.3858,0.3858
500000,1,495848.918,-0.8302,0.8302
500000,2,506487.787,1.2976,1.2976
500000,3,499530.379,-0.0939,0.0939
500000,4,504459.005,0.8918,0.8918
500000,5,501409.066,0.2818,0.2818
500000,7,498514.996,-0.2970,0.2970
500000,11,503026.855,0.6054,0.6054
500000,13,512879.009,2.5758,2.5758
500000,17,503939.244,0.7878,0.7878
500000,19,495058.477,-0.9883,0.9883
500000,23,497343.738,-0.5313,0.5313
500000,29,503300.999,0.6602,0.6602
500000,31,490891.094,-1.8218,1.8218
500000,37,493761.134,-1.2478,1.2478
500000,41,492465.563,-1.5069,1.5069
500000,43,507064.793,1.4130,1.4130
500000,47,504604.651,0.9209,0.9209
500000,53,501900.957,0.3802,0.3802
500000,59,499219.468,-0.1561,0.1561
500000,61,505204.973,1.0410,1.0410
1000000,1,991273.789,-0.8726,0.8726
1000000,2,997402.673,-0.2597,0.2597
1000000,3,1001239.371,0.1239,0.1239
1000000,4,999172.856,-0.0827,0.0827
1000000,5,1012573.892,1.2574,1.2574
1000000,7,988305.290,-1.1695,1.1695
1000000,11,1010145.500,1.0146,1.0146
1000000,13,1015545.293,1.5545,1.5545
1000000,17,1001315.903,0.1316,0.1316
1000000,19,997440.046,-0.2560,0.2560
1000000,23,1005438.705,0.5439,0.5439
1000000,29,1009516.978,0.9517,0.9517
1000000,31,994786.656,-0.5213,0.5213
1000000,37,982339.310,-1.7661,1.7661
1000000,41,993070.210,-0.6930,0.6930
1000000,43,1021746.687,2.1747,2.1747
1000000,47,984330.501,-1.5669,1.5669
1000000,53,1002458.760,0.2459,0.2459
1000000,59,1003898.133,0.3898,0.3898
1000000,61,992335.998,-0.7664,0.7664
