f,seed,inserted,failures,load,false_positives,fpr,t_insert,t_query
16,2,200000,0,0.095367431640625,2,1e-05,0.6547378350514919,1.7669451410183683
16,3,200000,0,0.095367431640625,3,1.5e-05,0.6555758300237358,1.7698829030850902
16,4,200000,0,0.095367431640625,3,1.5e-05,0.655399665934965,1.771745351026766
16,5,200000,0,0.095367431640625,4,2e-05,0.6553138520102948,1.7733389819040895
16,6,200000,0,0.095367431640625,3,1.5e-05,0.6537097219843417,1.778299907920882
16,7,200000,0,0.095367431640625,3,1.5e-05,0.6594430620316416,1.7835470020072535
16,8,200000,0,0.095367431640625,0,0.0,0.6641852909233421,1.774116626009345
16,9,200000,0,0.095367431640625,4,2e-05,0.6554935979656875,1.7711969149531797
16,10,200000,0,0.095367431640625,5,2.5e-05,0.6557093160226941,1.7705437139375135
16,11,200000,0,0.095367431640625,4,2e-05,0.6545837899902835,1.7743253819644451
16,12,200000,0,0.095367431640625,1,5e-06,0.6588268131017685,1.7767818470019847
16,13,200000,0,0.095367431640625,2,1e-05,0.6555731049738824,1.7704618270508945
16,14,200000,0,0.095367431640625,2,1e-05,0.6552301740739495,1.7734547909349203
16,15,200000,0,0.095367431640625,6,3e-05,0.6661230260506272,1.7795030699344352
16,16,200000,0,0.095367431640625,1,5e-06,0.6591240069828928,1.7872684040339664
16,17,200000,0,0.095367431640625,0,0.0,0.6627530800178647,1.7875850029522553
16,18,200000,0,0.095367431640625,2,1e-05,0.6610808779951185,1.7828046040376648
16,19,200000,0,0.095367431640625,0,0.0,0.6576221499126405,1.7819764269515872
16,20,200000,0,0.095367431640625,0,0.0,0.6635758869815618,1.7805257920408621
